name,male,female
bekah,0,1
bekka,0,3
bel,0,1
belinda,0,7
bella,0,8
bellamy,0,1
belle,0,2
belton,1,0
ben,164,0
benamin,1,0
benari,1,0
benay,0,1
benedetto,1,0
benedict,5,0
beneyam,0,0
benhur,1,0
benim,1,0
benita,0,4
benito,3,0
benjamin,62,0
benjamín,0,0
benji,2,0
benjy,1,0
benmio,1,0
bennet,2,0
bennett,2,0
bennie,2,0
bennis,1,0
benny,6,0
benoit,1,0
bentley,1,0
benton,1,0
benz,1,0
berenice,0,2
bergen,0,0
berlynn,0,1
bern,2,0
bernadeta,0,1
bernadette,0,10
bernadina,0,1
bernard,15,0
bernard-henri,1,0
bernardine,0,1
bernardo,4,0
bernd,1,0
bernhard,3,0
bernice,0,1
bernie,0,10
berry,1,0
bert,7,0
bertha,0,1
bertie,0,1
bertila,0,1
berto,1,0
bertrand,2,0
besart,1,0
bess,0,5
best,1,0
beth,0,39
bethalyn,0,1
bethan,0,1
bethanie,0,1
bethany,0,12
bethenny,0,1
betsy,0,15
bette,0,5
bettina,0,2
betty,0,17
beulah,0,2
bev,0,1
bevan,1,0
beverley,0,6
beverly,0,13
bevin,0,2
bex,0,1
bhagwan,1,0
bhama,0,1
bharat,1,0
bhavini,0,1
bhavkhandan,1,0
bhavna,0,1
biagio,1,0
bian,0,1
bianca,0,20
biff,3,0
big,10,0
biichi,1,0
biko,1,0
bilha,0,1
bill,165,0
billiam,1,0
billie,0,5
billionna,0,1
billoah,1,0
billy,66,0
billynaire,1,0
bing,1,0
binky,0,1
birch,1,0
birgitta,0,1
birgitte,0,1
birke,0,1
birl,1,0
bishop,3,0
biski,1,0
bitsie,0,1
bittu,1,0
bitty,0,1
bj,2,0
bjarni,1,0
bjartmar,1,0
bjorn,3,0
björn,0,0
blackjack,1,0
blaine,8,0
blair,17,0
blaire,0,4
blaise,4,0
blake,35,0
blanca,0,4
blane,1,0
blas,1,0
blayne,1,0
blaze,1,0
blessing,0,1
blesst,0,1
bleu,1,0
bloc,0,0
blondie,0,1
blossom,0,1
blue,4,0
blumes,1,0
blythe,0,3
bo,9,0
bob,116,0
bobak,2,0
bobb'e,1,0
bobbi,0,1
bobbie,0,3
bobby,49,0
bobcat,1,0
bobette,0,1
bobo,2,0
bodee,1,0
bodhi,2,0
bodie,1,0
bogdan,1,0
boguslaw,1,0
bokeem,1,0
bolton,1,0
bon,2,0
bonale,0,0
bonita,0,4
bonn,1,0
bonnie,0,29
bonnie-jill,0,1
bonny,0,1
bono,1,0
bontia,0,1
boo,0,1
booboo,1,0
booch,0,1
booker,1,0
boomer,1,0
boone,1,0
boots,0,1
bora,1,0
boriana,0,1
boris,10,0
borys,1,0
bosch,1,0
boshir,1,0
boston,2,0
boti,0,1
boubacar,1,0
boubker,1,0
boussalem,1,0
bowd,1,0
boy,2,0
boyan,1,0
boyce,1,0
boyd,5,0
boys,1,0
boyuen,1,0
bozena,0,2
brace,1,0
brad,72,0
braden,4,0
bradford,5,0
bradie,0,1
bradley,26,0
brady,13,0
braeden,3,0
braedon,1,0
braen,1,0
bralyn,1,0
bram,1,0
brandan,1,0
brande,0,1
brandee,0,1
branden,5,0
brandi,0,8
brandie,0,1
brando,1,0
brandon,115,0
brandy,0,5
branford,1,0
branka,0,1
branko,1,0
brann,1,0
brannon,1,0
branscombe,1,0
brantley,2,0
branton,1,0
bray,1,0
brayden,2,0
bre,0,1
bre-z,0,1
brea,0,1
breanna,0,2
breanne,0,2
brecken,2,0
breckin,1,0
bree,0,9
breeda,0,1
breezy,0,1
brenda,0,29
brendan,42,0
brendee,0,1
brendon,4,0
brendt,1,0
brenna,0,5
brennan,12,0
brenock,1,0
brent,45,0
brently,1,0
brenton,1,0
breon,1,0
breona,0,1
bresha,0,1
bret,8,0
brett,55,0
brette,0,2
brevard,1,0
breven,1,0
brey,1,0
bria,0,6
brialynn,0,0
brian,305,0
briana,0,15
brianda,0,1
brianna,0,10
brianne,0,8
brice,2,0
bridger,2,0
bridget,0,20
bridgett,0,1
bridgetta,0,1
bridgette,0,1
bridgit,0,1
brie,0,4
brielle,0,2
brien,1,0
briga,0,1
briggon,1,0
brigham,1,0
brighid,0,1
brighton,1,0
brigid,0,4
brigitte,0,3
brima,1,0
brina,0,2
brink,1,0
brinon,0,1
brinsley,0,1
brionna,0,1
brionne,0,1
briony,0,2
brisco,1,0
bristol,0,1
briston,1,0
brit,9,0
britain,0,0
britian,1,0
britne,0,1
britney,0,3
britt,10,0
britta,0,1
brittainy,0,1
brittani,0,4
brittany,0,46
britten,1,0
brittnee,0,1
brittney,0,8
brixton,1,0
broadus,1,0
brock,5,0
broderick,1,0
brody,4,0
bronislaw,1,0
bronson,2,0
bronwen,0,1
broocks,0,1
brook,0,3
brooke,0,46
brooklyn,0,8
brooklynne,0,1
brooks,3,0
brooksley,0,1
brother,1,0
bru,1,0
bruce,94,0
bruna,0,1
brune,0,1
bruno,10,0
bryan,70,0
bryanna,0,1
bryant,5,0
bryce,21,0
bryn,6,0
bryna,0,1
brynda,0,1
brynn,0,5
bryon,1,0
bryonna,0,1
bryony,0,1
bryshere,0,1
bryson,1,0
brían,0,0
bubba,4,0
bubbles,0,1
buck,2,0
buckso,0,1
bud,8,0
buda,1,0
budd,1,0
buddy,14,0
bug,1,0
bumper,1,0
bunky,1,0
bunnie,0,1
bunny,0,3
burgess,1,0
burhan,1,0
burke,2,0
burkely,1,0
burkster,1,0
burl,1,0
burn,1,0
burnadean,0,1
burr,1,0
burt,8,0
burton,3,0
bus,1,0
business,0,1
busta,1,0
buster,2,0
busy,0,0
butch,5,0
buzz,4,0
byard,1,0
bylle,0,1
byrdie,0,1
byrne,1,0
byron,17,0
bálint,0,0
béatrice,0,0
bérénice,0,0
børns,0,0
c.,0,0
c.c.,0,0
c.e.,0,0
c.j.,0,0
c.l.,0,0
c.p.,0,0
c.s.,0,0
c.w.,0,0
cabell,1,0
cabran,1,0
cabrenna,0,1
cachet,0,1
cadden,1,0
cade,6,0
caden,1,0
cady,0,2
cage,1,0
cai,1,0
caiden,1,0
cailean,1,0
caileigh,0,1
cailin,0,2
cainan,1,0
cait,0,3
caitlin,0,37
caitlyn,0,6
caitlynn,0,1
caity,0,3
cal,9,0
calais,0,2
cale,1,0
caleb,21,0
cali,0,2
calida,0,1
caliph,1,0
calise,0,1
calista,0,1
calla,0,1
callan,3,0
callard,1,0
callder,1,0
calle,0,1
calli,0,1
callie,0,3
calliope,0,1
calliway,1,0
callum,5,0
calum,4,0
calvin,14,0
calvyn,1,0
calwyn,1,0
cam,4,0
cam'ron,1,0
camden,2,0
cameron,43,0
cami,0,1
camie,0,1
camila,0,2
camilla,0,5
camille,0,17
camillia,0,1
cammi,0,1
campbell,5,0
camren,1,0
camrin,1,0
camryn,0,1
camyar,1,0
candace,0,19
candi,0,3
candice,0,20
candido,1,0
candis,0,1
candus,0,1
candy,0,4
canedy,0,1
cannon,1,0
cantrell,1,0
canute,1,0
cao,1,0
cap,1,0
capathia,0,1
caprice,0,1
capt'n,1,0
cara,0,18
caralyn,0,1
caren,0,2
carey,0,9
cari,0,2
carice,0,1
carin,0,1
carina,0,1
caris,0,1
carissa,0,9
carl,51,0
carla,0,29
carlan,1,0
carlease,0,1
carley,0,1
carli,0,2
carlie,0,2
carling,0,1
carlo,11,0
carlon,1,0
carlos,58,0
carlson,1,0
carlton,1,0
carly,0,24
carlyn,0,3
carlyncia,0,1
carme,0,1
carmel,0,3
carmela,0,4
carmella,0,1
carmelo,1,0
carmen,0,25
carmine,10,0
carmyn,0,1
carol,0,39
carole,0,12
carolee,0,1
carolin,0,1
carolina,0,11
caroline,0,55
caroll,0,1
carolyn,0,36
carolyne,0,1
carra,0,1
carri,0,1
carrick,1,0
carrie,0,31
carrie-anne,0,1
carrie-louise,0,1
carrington,0,0
carroll,2,0
carryl,0,1
carsen,1,0
carsey,1,0
carshenah,0,1
carson,7,0
carsten,2,0
carter,8,0
carty,1,0
carver,1,0
cary,6,0
cary-hiroyuki,1,0
caryn,0,3
caryne,0,1
cas,1,0
casandra,0,1
cascy,1,0
casey,48,0
cash,1,0
cashalà,0,0
cason,1,0
casper,3,0
cass,2,0
cassandra,0,17
cassi,0,1
cassidey,0,1
cassidy,0,8
cassie,0,10
cassius,1,0
castille,0,1
castle,1,0
castulo,1,0
cat,8,0
catalina,0,4
cate,0,3
caterina,0,1
catfish,3,0
cathal,1,0
catharine,0,3
catherine,0,74
catheryn,0,1
cathleen,0,1
cathrine,0,1
cathryn,0,4
cathy,0,20
catia,0,1
catie,0,2
catina,0,1
catori,0,1
catrin,0,1
catrina,0,2
catriona,0,1
catrisa,0,0
catt,0,1
cavan,1,0
cayden,1,0
cazimir,1,0
cazzey,1,0
cc,0,1
cch,0,1
ceallach,0,0
cean,1,0
ceazar,1,0
cece,0,2
cecelia,0,3
ceci,0,1
cecil,1,0
cecile,0,3
ceciley,0,1
cecilia,0,2
cecille,0,1
cecily,0,1
cedric,14,0
cee-money,1,0
ceelo,1,0
celeste,0,8
celestina,0,1
celestine,0,1
celestino,1,0
celia,0,6
celine,0,2
celisse,0,1
celumusa,1,0
celyn,0,1
cenk,1,0
ceri,0,3
cerina,0,1
cerith,1,0
cesar,9,0
cesare,2,0
cesili,0,1
cezary,1,0
chace,1,0
chad,59,0
chadi,1,0
chadney,1,0
chadwick,2,0
chae,0,0
chagmion,0,1
chaim,1,0
chaimae,0,1
chaise,1,0
chaize,0,0
chaka,0,1
chaley,0,1
challen,1,0
chalo,1,0
cham,1,0
chamblee,1,0
chamillionaire,1,0
chamique,0,1
chan,2,0
chance,8,0
chancellor,1,0
chancy,1,0
chandarmohan,1,0
chandler,9,0
chandra,0,4
chane't,0,1
chanel,0,2
chani,0,1
channe,1,0
channing,5,0
channon,0,1
chantal,0,3
chantel,0,3
chantele,0,1
chantelle,0,7
chanté,0,0
chaouki,1,0
chapman,1,0
chapter,0,1
char,0,2
charan,1,0
charina,0,1
charisma,0,1
charissa,0,1
charisse,0,2
charity,0,5
charla,0,1
charlamagne,1,0
charlayne,0,1
charleigh,0,2
charlene,0,15
charles,121,0
charlet,0,1
charley,6,0
charli,0,1
charlie,72,0
charlize,0,1
charlotte,0,34
charlton,1,0
charly,0,2
charlyne,0,1
charlë,0,0
charmagne,0,1
charmaine,0,4
charmel,0,1
charmin,0,1
charo,0,1
charon,0,1
chas,1,0
chase,21,0
chasity,0,1
chastity,0,1
chasty,0,1
chatree,1,0
chauncey,1,0
chayce,1,0
chaz,8,0
chazz,1,0
che,1,0
chealy,0,1
cheech,1,0
cheeky,0,0
chef,1,0
cheikh,2,0
chekesha,0,1
chelah,0,1
chelan,0,1
chelcie,0,1
chele,0,1
chella,0,1
chelle,0,1
chellie,0,1
chelsea,0,34
chelsey,0,4
chelsi,0,1
chemi,0,1
chen,2,0
chene,0,1
cheo,1,0
cher,0,2
cherami,0,1
cherelle,0,1
cheri,0,1
cherie,0,2
cherif,1,0
cherilyn,0,1
cherilynn,0,1
cherion,0,1
cherise,0,2
cherlyn,0,1
chernise,0,1
cherrelle,0,1
cherry,0,1
chervine,1,0
cheryl,0,31
chesaré,0,0
chesley,1,0
chessman,1,0
chester,12,0
chet,2,0
chetna,0,2
chevonne,0,1
chevy,2,0
cheyenne,0,5
chez'ney,0,1
chhultim,1,0
chi,0,4
chiara,0,2
chic,4,0
chichi,0,1
chick,2,0
chico,3,0
chie,0,1
chief,2,0
chika,0,1
chikara,0,1
chike,1,0
chiko,0,0
